Fecha,Descripción,Referencia,Valor
09/03/2025,PAGO PSE,trzxfks2oeec,6000
09/03/2025,PAGO PSE,trwciqdnwaec,20000
09/01/2025,PAGO PSE,0000099100,80000
08/31/2025,PAGO PSE,treqfukbj2ec,34000
08/29/2025,PAGO PSE,trrmcfgofrec,41000
08/28/2025,PAGO PSE,trbic2hrwbec,38000
08/28/2025,PAGO PSE,trbic2hrwbec,38000
09/01/2025,PAGO PSE,0000034500,12600
08/08/2022,PAGO PSE,32660,126000
10/21/2022,PAGO PSE,82725,253999
10/24/2022,PAGO PSE,20244,30000
10/27/2022,PAGO PSE,70198,765052
10/27/2022,PAGO PSE,1247,367374
10/31/2022,PAGO PSE,85962,132551
11/02/2022,PAGO PSE,14023,15000
11/02/2022,PAGO PSE,94002,33000
11/03/2022,PAGO PSE,0000028700,474050
11/11/2022,PAGO PSE,0000093394,50000
11/12/2022,PAGO PSE,0000077700,9500
11/15/2022,PAGO PSE,0000023300,15000
11/15/2022,PAGO PSE,0000004200,15000
11/21/2022,PAGO PSE,44889,259999
11/22/2022,PAGO PSE,30915,310000
11/22/2022,PAGO PSE,93902,33000
11/23/2022,PAGO PSE,25522,135874
11/23/2022,PAGO PSE,14640,398999
11/25/2022,PAGO PSE,23911,29000
12/05/2022,PAGO PSE,9500,540343
12/05/2022,PAGO PSE,0000095640,50000
12/06/2022,PAGO PSE,77434,15000
12/16/2022,PAGO PSE,0000092939,50000
12/17/2022,PAGO PSE,0000097550,50000
12/19/2022,PAGO PSE,90867,349499
12/19/2022,PAGO PSE,25448,49000
12/20/2022,PAGO PSE,1153,10600
12/21/2022,PAGO PSE,23344,321000
12/21/2022,PAGO PSE,0o0oo84000,150000
12/26/2022,PAGO PSE,0000098o0o,18000
12/26/2022,PAGO PSE,0000021400,417000
12/26/2022,PAGO PSE,43572,18000
12/28/2022,PAGO PSE,0000057200,17000000
01/13/2023,PAGO PSE,52103,206999
01/13/2023,PAGO PSE,0000028000,10000
01/17/2023,PAGO PSE,27454,24000
01/17/2023,PAGO PSE,0000054800,50000
01/18/2023,PAGO PSE,6357,2877060
01/19/2023,PAGO PSE,20728,139000
01/24/2023,PAGO PSE,45055,39000
01/24/2023,PAGO PSE,19807,223720
01/06/2023,PAGO PSE,0000040000,4045966
02/01/2023,PAGO PSE,0000025900,80000
02/14/2023,PAGO PSE,96712,12000
02/15/2023,PAGO PSE,0000063100,1692400
02/15/2023,PAGO PSE,75195,1692400
02/23/2023,PAGO PSE,71732,5250060
02/27/2023,PAGO PSE,28157,213000
02/27/2023,PAGO PSE,946,31000
03/06/2023,PAGO PSE,25699,12000
03/07/2023,PAGO PSE,45600,120000
03/08/2023,PAGO PSE,31181,4240303
03/11/2023,PAGO PSE,0000048800,10000
03/11/2023,PAGO PSE,0000013900,5000
03/14/2023,PAGO PSE,92722,129800
03/15/2023,PAGO PSE,68332,2160000
03/15/2023,PAGO PSE,88487,4240303
03/15/2023,PAGO PSE,2952,3068453
03/17/2023,PAGO PSE,43353,208000
03/19/2023,PAGO PSE,0000092515,57000
03/21/2023,PAGO PSE,90434,1975000
03/21/2023,PAGO PSE,98821,644689
03/22/2023,PAGO PSE,0000002144,219000
03/23/2023,PAGO PSE,0000013000,700000
03/24/2023,PAGO PSE,0000000051,567000
03/24/2023,PAGO PSE,0000073000,59000
03/25/2023,PAGO PSE,86276,200000
03/28/2023,PAGO PSE,0000006800,10000
03/28/2023,PAGO PSE,83310,38000
03/28/2023,PAGO PSE,94653,200000
03/28/2023,PAGO PSE,0000011700,10000
03/29/2023,PAGO PSE,68222,38503
03/30/2023,PAGO PSE,0000039000,297200
03/31/2023,PAGO PSE,41216,398000
03/31/2023,PAGO PSE,0000030200,434000
04/01/2023,PAGO PSE,0000023800,39000
04/02/2023,PAGO PSE,0000091200,180000
04/02/2023,PAGO PSE,0000034400,50000
04/10/2023,PAGO PSE,54282,57000
04/11/2023,PAGO PSE,36184,3220784
